site,species,startDate,endDate,instrument,inlet,network
BSD,N2O,,2017-03-17 00:00,GCECD,108m,DECC
BSD,N2O,2017-03-17 00:00,2019-03-06 00:00,GCECD,248m,DECC
BSD,N2O,2019-03-06 00:00,,picarro5310,248m,DECC
BSD,CO,,2019-03-06 00:00,picarro,248m,DECC
BSD,CO,2019-03-06,,picarro5310,248m,DECC
BSD,,,,,248m,DECC
HFD,,,,,100m,DECC
TAC,,,2017-03-10 00:00,GCMSMedusa,100m,DECC
TAC,,2017-03-10 00:00,,GCMSMedusa,185m,DECC
TAC,SF6,,2017-03-09 00:00,GCECD,100m,DECC
TAC,SF6,2017-03-09 00:00,,GCECD,185m,DECC
TAC,N2O,,2015-11-06 00:00,GCECD,100m,DECC
TAC,N2O,2015-11-06 00:00,2016-02-08 00:00,lgr,100m,DECC
TAC,N2O,2016-02-08 00:00,,lgr,185m,DECC
TAC,CH4,,2013-01-31 00:00,picarro,100m,DECC
TAC,CH4,2013-01-31 00:00,,picarro,185m,DECC
TAC,CO2,,2013-01-31 00:00,picarro,100m,DECC
TAC,CO2,2013-01-31 00:00,,picarro,185m,DECC
MHD,CO2,,,,,ICOS
MHD,CH4,,,GCFID,,AGAGE
MHD,N2O,,,GCECD,,
MHD,CFC11,,,GCECD,,
MHD,CFC12,,,GCECD,,
MHD,CFC113,,,GCECD,,
MHD,CCl4,,,GCECD,,
MHD,CHCl3,,,GCECD,,
MHD,CH3CCl3,,,GCECD,,
MHD,,,2003-11-15 00:00,GCMS,,
MHD,,2003-11-15 00:00,,GCMSMedusa,,
RGL,,,,,90m,DECC
ZEP,,,2010-09-01 00:00,GCMS,,
ZEP,,2010-09-01 00:00,,GCMSMedusa,,
THD,CFC11,,,GCECD,,
THD,CFC12,,,GCECD,,
THD,CFC113,,,GCECD,,
THD,CCl4,,,GCECD,,
THD,CHCl3,,,GCECD,,
THD,CH3CCl3,,,GCECD,,
THD,N2O,,,GCECD,,
THD,CH4,,,GCFID,,
THD,,,,GCMSMedusa,,
RPB,CFC11,,,GCECD,,
RPB,CFC12,,,GCECD,,
RPB,CFC113,,,GCECD,,
RPB,CCl4,,,GCECD,,
RPB,CHCl3,,,GCECD,,
RPB,CH3CCl3,,,GCECD,,
RPB,CH4,,2016-08-12 00:00,GCFID,,
RPB,CH4,2016-08-12 00:00,,picarro,,
RPB,N2O,,,GCECD,,
RPB,,,,GCMSMedusa,,
CGO,CFC11,,,GCECD,70m,
CGO,CFC12,,,GCECD,70m,
CGO,CFC113,,,GCECD,70m,
CGO,CCl4,,,GCECD,70m,
CGO,CHCl3,,,GCECD,70m,
CGO,CH3CCl3,,,GCECD,70m,
CGO,CH4,,,GCFID,70m,
CGO,N2O,,,GCECD,70m,
CGO,,,2004-01-22 00:00,GCMS,10m,
CGO,,2004-01-22 00:00,2005-10-20 00:00,GCMSMedusa,10m,
CGO,,2005-10-20 00:00,,GCMSMedusa,70m,
SMO,CFC11,,,GCECD,,
SMO,CFC12,,,GCECD,,
SMO,CFC113,,,GCECD,,
SMO,CCl4,,,GCECD,,
SMO,CHCl3,,,GCECD,,
SMO,CH3CCl3,,,GCECD,,
SMO,CH4,,,GCFID,,
SMO,N2O,,,GCECD,,
SMO,,,,GCMSMedusa,,
JFJ,,,,GCMSMedusa,,
WAO,CH4,,2017-12-31 00:00,GCFID,,GAW
WAO,CH4,2017-12-31 00:00,,FTIR,,GAW
WAO,,,,,,UEA
